names,scores,logfoldchanges,pvals,pvals_adj,cluster
Ffar2,0.47774395,1.5006386,0.6328324619944976,0.8823952636549384,0
Col1a2,223.38712,2.5449317,0.0,0.0,4
Lrp1,201.0659,2.277738,0.0,0.0,4
Serpina3n,191.04816,3.3962257,0.0,0.0,4
C3,184.31982,2.7153966,0.0,0.0,4
Eln,184.19734,2.2784748,0.0,0.0,4
C4b,172.27658,3.5841167,0.0,0.0,4
Col1a1,160.333,2.182887,0.0,0.0,4
Ogn,148.15228,2.927929,0.0,0.0,4
Pdgfra,145.64336,3.2292705,0.0,0.0,4
Prelp,141.2592,2.653707,0.0,0.0,4
Ccn1,137.42052,2.2555635,0.0,0.0,4
Col6a2,135.056,2.276789,0.0,0.0,4
Spon1,132.96541,3.05722,0.0,0.0,4
Tgfbr2,125.85083,1.6511693,0.0,0.0,4
Fbn1,123.79897,2.233907,0.0,0.0,4
Plxdc2,115.52063,2.7856731,0.0,0.0,4
Cxcl12,112.61765,1.572403,0.0,0.0,4
Plpp3,101.531334,2.252132,0.0,0.0,4
Itga8,99.28312,3.0847032,0.0,0.0,4
Gpc3,94.444496,3.3531303,0.0,0.0,4
App,87.710205,3.0906007,0.0,0.0,11
Csf3r,2.0932927,1.6534925,0.03632302566748666,0.07387684365287121,11
Cxcr2,2.013428,1.8165013,0.04406962926727099,0.08815232996205707,11
Tgm2,1.6756003,1.3379697,0.09381651984589284,0.1752585746806194,11
Mmp9,1.4097571,1.6208224,0.1586114189314759,0.2808987615920272,11
Nlrp12,0.20765384,1.8271356,0.8354992641895487,0.9999395821162461,11
Ccl21b,0.16051067,0.9177375,0.8724788174397456,0.9999395821162461,11
Acod1,0.149216,1.4353571,0.8813832022243548,0.9999395821162461,11
Nfe2,0.11790988,1.4517916,0.9061390670011258,0.9999395821162461,11
Alox15,0.091310665,1.2159684,0.9272457459754146,0.9999395821162461,11
Mmrn1,0.0854881,1.007353,0.93187335535036,0.9999395821162461,11
Ccl21a,0.06648184,0.9127125,0.9469942099645667,0.9999395821162461,11
Casr,0.064607516,2.077819,0.9484865017600005,0.9999395821162461,11
Sox10,0.06250361,2.2141066,0.9501617835648642,0.9999395821162461,11
Trem1,0.05672479,1.4156272,0.9547644245259785,0.9999395821162461,11
Grik3,0.052468196,1.8627905,0.958155636149579,0.9999395821162461,11
Slc17a6,0.048743986,2.2091107,0.9611233216466579,0.9999395821162461,11
Hcar2,0.04737832,1.6021972,0.9622117074136176,0.9999395821162461,11
Gpr37l1,0.04642869,1.9854661,0.9629685692037117,0.9999395821162461,11
Sost,0.042477462,1.4417194,0.9661180790336327,0.9999395821162461,11
Igkc,229.0879,4.418894,0.0,0.0,21
Ighm,228.94907,5.662656,0.0,0.0,21
Cd79b,160.52385,5.872703,0.0,0.0,21
Ms4a1,124.73354,6.238026,0.0,0.0,21
Cd79a,112.97965,5.8691654,0.0,0.0,21
Fcmr,110.58088,6.2398086,0.0,0.0,21
Ighd,103.88321,6.116481,0.0,0.0,21
Syk,86.53088,2.7606816,0.0,0.0,21
Spib,85.44557,5.04422,0.0,0.0,21
Ptprc,78.14372,2.2222633,0.0,0.0,21
Ets1,69.27461,1.8288431,0.0,0.0,21
H2-DMb2,68.389465,4.236491,0.0,0.0,21
Cd72,64.86958,3.7140145,0.0,0.0,21
Sell,64.64973,3.444089,0.0,0.0,21
Pax5,64.5456,6.075884,0.0,0.0,21
Blnk,59.367863,3.7752755,0.0,0.0,21
Cd37,58.87843,3.9345062,0.0,0.0,21
Grk2,54.159172,1.5530144,0.0,0.0,21
Tnfrsf13c,53.510075,5.2923193,0.0,0.0,21
Dock2,49.732185,2.078241,0.0,0.0,21
Epas1,261.82193,3.3087451,0.0,0.0,26
Calcrl,6.4587765,0.91214675,1.0555289364817666e-10,2.427909168677494e-10,26
Clec14a,6.059111,1.0157776,1.368756751045319e-09,3.055011748017042e-09,26
Bmp6,3.4950666,1.2350268,0.000473943445260715,0.0008467834340909018,26
Tek,2.3318183,0.981994,0.019710254827219206,0.03195469608965892,26
Ntrk2,1.4123884,1.3889157,0.15783561446573557,0.23509812943463482,26
Pecam1,1.213304,0.7481108,0.22501361678512377,0.3273279445558552,26
Cdh5,0.8499045,0.71054065,0.39537819825690046,0.5514514178731098,26
Cxcr2,0.75059366,1.102455,0.45289722000612054,0.6218703113482733,26
Gata2,0.7082096,0.92979556,0.47881510651695514,0.653395482816485,26
Edn1,0.646786,1.0762224,0.5177704611893281,0.6982077200632769,26
Glp1r,0.5317153,1.083897,0.5949232242350977,0.7877108446936351,26
Gzma,0.51967883,0.92455536,0.6032874518202157,0.7966933818956332,26
Tubb1,0.22602354,1.3483089,0.821183113443427,0.9581782180235975,26
Padi4,0.16194236,1.1680758,0.8713512423248194,0.9581782180235975,26
Nlrp12,0.104727134,1.1328071,0.9165923291299747,0.9581782180235975,26
Ace,0.099463455,0.8859765,0.9207703013055426,0.9581782180235975,26
Esrrb,-0.007102197,1.3205625,0.9943333141505692,0.9943333141505692,26
Cyp11a1,-0.011364622,1.1082133,0.9909325386560998,0.9911291132521435,26
Crygd,-0.016451031,1.0167545,0.9868745678123629,0.9872661847043519,26
Rsrp1,107.507935,1.9731848,0.0,0.0,3
Sirpa,68.1955,2.1934483,0.0,0.0,3
Il10ra,60.171043,2.6634808,0.0,0.0,3
Gm2a,59.17286,1.7135463,0.0,0.0,3
Csf1r,58.050266,2.7980642,0.0,0.0,3
Grn,54.73618,1.5254688,0.0,0.0,3
Aif1,52.57166,2.6530802,0.0,0.0,3
Cxcl16,51.70905,1.7477415,0.0,0.0,3
Prkcd,47.73131,1.7171322,0.0,0.0,3
Cd68,46.683056,1.981907,0.0,0.0,3
Fcgr2b,46.141476,2.8895345,0.0,0.0,3
Ptprc,45.86338,1.6494739,0.0,0.0,3
Syk,43.020058,1.8038349,0.0,0.0,3
Ncf1,42.693268,2.188044,0.0,0.0,3
Arrb2,41.712784,1.9105421,0.0,0.0,3
Cxcl12,41.191677,1.237834,0.0,0.0,3
